Priority,Group,Company,Title,Location,System Score,Resume Match %,Matching Skills,Search Terms,Gaps / Missing,Date Posted,Indeed URL,Company Board URL,Status,Referral Contact,Date Applied,Interview Date,Offer LPA,Notes
🔥 P1 - Apply Today,Bangalore,Salesforce,Software Engineering LMTS- ML Engineer,"KA, IN",86.3,92,"agentic, ai platform, llm, python, pytorch, rust, tensorflow, vector",AI Platform | Agentic AI | ML Engineer,"fine-tuning, go",1773120600000,https://in.indeed.com/viewjob?jk=60c74622a9087dc1,,,,,,,
🔥 P1 - Apply Today,Pune/Remote,Mastercard,"Senior Engineer, Machine Learning Engineering-1","MH, IN",83.9,76,"agentic, aws, gcp, genai, inference, langgraph, llm, mlflow",Generative AI | Agentic AI | ML Engineer | LangChain,"azure, databricks, go, llmops, scala, security",1773639000000,https://in.indeed.com/viewjob?jk=676ab9804fbcd234,,,,,,,
🔥 P1 - Apply Today,Pune/Remote,NVIDIA,Senior Platform Engineer,"Remote, IN",82.4,70,"aws, ci/cd, gcp, kubernetes, python, spark, terraform",AI Infrastructure | Kubernetes ML,"azure, go, microservices, secrets, security",1770355800000,https://in.indeed.com/viewjob?jk=9878b7e885c8a385,,,,,,,
🔥 P1 - Apply Today,Pune/Remote,Palo Alto Networks,"Sr Staff ML Engineer - Production & MLOps Focus - GenAI Security Platform (Prisma AIRS, NetSec)","Bengaluru, Karnataka, India",80.8,72,"aws, ci/cd, docker, gcp, genai, kubernetes, langchain, llm",MLOps | Generative AI | ML Engineer | LangChain | Kubernetes ML,"anthropic, azure, fine-tuning, llamaindex, monitoring, multi-agent",1772588459000,https://in.linkedin.com/jobs/view/sr-staff-ml-engineer-production-mlops-focus-genai-security-platform-prisma-airs-netsec-at-palo-alto-networks-4378541535,,,,,,,
🔥 P1 - Apply Today,Pune/Remote,Google,"Field Solutions Architect, GenAI, Google Cloud","KA, IN",75.0,72,"agentic, ci/cd, genai, mlflow, mlops, observability, python, rag",MLOps | Generative AI | Agentic AI | RAG,"bigquery, go, kubeflow, monitoring, scala, security",1769059800000,https://in.indeed.com/viewjob?jk=2b86451a16d6ee08,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Microsoft,Principal Software engineer,"KA, IN",89.0,58,"ai platform, aws, genai, llm, observability, openai, python",AI Platform | Generative AI,"azure, go, java, monitoring, scala, security",1773293400000,https://in.indeed.com/viewjob?jk=7f285045f4e3b3a7,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Microsoft,Senior Software Engineer,"KA, IN",88.8,59,"ai platform, aws, llm, observability, openai, python",AI Platform,"azure, go, monitoring, scala, security",1773293400000,https://in.indeed.com/viewjob?jk=530d31a6d959e864,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Intuit,Senior Staff Software Engineer - Platform,"KA, IN",88.3,69,"aws, ci/cd, docker, gcp, kubernetes, llm, observability, python",Kubernetes ML,"go, java, kafka, monitoring, scala",1773120600000,https://in.indeed.com/viewjob?jk=8d98e49c5326c68c,,,,,,,
⚡ P2 - Apply This Week,Pune/Remote,Mastercard,"Lead Software Engineer, Backend (Java/Python & AI/LLM)","MH, IN",87.3,65,"aws, ci/cd, fastapi, gcp, inference, kubernetes, llm, openai",Kubernetes ML,"azure, devops, go, java, microservices, monitoring",1773120600000,https://in.indeed.com/viewjob?jk=3852f8a2a53cf36d,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Adobe,Software Development Engineer 3,"KA, IN",87.1,43,"agentic, aws, gcp, kubernetes, llm, mlops, observability, openai",MLOps | Agentic AI | Kubernetes ML,"anthropic, azure, datadog, go, grpc, java",1772775000000,https://in.indeed.com/viewjob?jk=fd3bd6d5b81369a3,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Apple,Machine Learning Software Engineer,"KA, IN",86.4,57,"ci/cd, mlflow, mlops, python, pytorch, spark, sql, tensorflow",MLOps,"kafka, kubeflow, monitoring, postgres, scala, snowflake",1773034200000,https://in.indeed.com/viewjob?jk=6676d99cfee2a9ba,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Oracle,Principal AI / OCI Infrastructure Architect,"KA, IN",85.6,64,"aws, ci/cd, docker, gcp, kubernetes, mlops, observability, python",MLOps | Kubernetes ML,"ansible, azure, devops, go, grafana, java",1771738200000,https://in.indeed.com/viewjob?jk=e6a680c4e1ab1685,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Qualcomm,AI ML Lead Engineer- CE Team,"KA, IN",85.4,60,"agentic, genai, inference, langchain, llm, observability, python, pytorch",Generative AI | Agentic AI | LangChain,"c++, fine-tuning, go, java, multi-agent, onnx",1772429400000,https://in.indeed.com/viewjob?jk=d2132b5996fda012,,,,,,,
⚡ P2 - Apply This Week,Bangalore,intuit,staff software engineer,"ka, in",85.2,47,"agentic, aws, kubernetes",Agentic AI | Kubernetes ML,"devops, go, java, kafka",1771824600000,https://in.indeed.com/viewjob?jk=5f6e8d79420b4b3f,,,,,,,
⚡ P2 - Apply This Week,Bangalore,Adobe,Computer Scientist 1,"KA, IN",84.8,45,"aws, ci/cd, docker, gcp, inference, kubernetes, model serving, observability",MLOps | Kubernetes ML,"azure, devops, go, grpc, java, kafka",1772429400000,https://in.indeed.com/viewjob?jk=0418940175b81c33,,,,,,,
⚡ P2 - Apply This Week,Pune/Remote,Salesforce,Salesforce Technical Architect - Agentforce & Data 360,"MH, IN",75.0,66,"agentic, llm, observability, rag, rust, vector",Agentic AI | RAG,"go, scala, security",1773207000000,https://in.indeed.com/viewjob?jk=40077f4253ea6d08,,,,,,,
📋 P3 - Low Priority,Pune/Remote,Snowflake,Cloud DevOps Engineer,"MH, IN",81.2,42,"aws, ci/cd, gcp, oidc, python, rbac",AI Platform | MLOps,"azure, devops, go, monitoring, rest api, scala",1771997400000,https://in.indeed.com/viewjob?jk=7da61ce8d1dae882,,,,,,,
🔥 P1 - Apply Today,Pune/Remote,Autodesk,Senior Software Engineer - Agentic AI,"MH, IN",87.2,69,"agentic, ai platform, llm, python",Agentic AI | AI Platform Engineer,"design systems, figma",1772668800000,https://in.indeed.com/viewjob?jk=d54d80d9068d4eb2,https://autodesk.wd1.myworkdayjobs.com/en-US/Ext/job/Pune-IND/Senior-Software-Engineer---Agentic-AI_26WD94547-1,,,,,,
🔥 P1 - Apply Today,Bangalore,Microsoft,Senior Software Engineer,"KA, IN",83.5,60,"ai platform, azure, llm, openai, python",AI Platform | ML Platform Engineer,"azure devops, java, scala",1772496000000,https://in.indeed.com/viewjob?jk=2f280db81251bcf3,https://apply.careers.microsoft.com/careers/job/1970393556824251,,,,,,
⚡ P2 - Apply This Week,Pune/Remote,Zendesk,Machine Learning Engineer I,"MH, IN",83.5,62,"inference, llm, ml, python",ML Platform Engineer | GenAI,,1773187200000,https://in.indeed.com/viewjob?jk=a8f1649ad3aee7a1,https://zendesk.wd1.myworkdayjobs.com/en-US/zendesk/job/Pune-India/Machine-Learning-Engineer-I_R34216,,,,,,
